source,target
Biblioteca,Música clásica
Asociación Cultural Freude,Gestión cultural
Gestión cultural,Asociación Cultural Mismar
Gestión cultural,Casa de la Cultura de Rancagua
Gestión cultural,Centro Cultural Sofia Hott
Gestión cultural,Centro de Difusión Cultural Universidad Técnica Federico Santa María
Gestión cultural,Centro de Extensión Artística y Cultural de la Universidad de Chile
Gestión cultural,Coordinación Artística-Cultural Universidad de la Frontera
Gestión cultural,Corporación Cultural de Antofagasta
Gestión cultural,Corporación Cultural de Curicó
Gestión cultural,Corporación Cultural de la Pintana
Gestión cultural,Corporación Cultural de Las Condes
Gestión cultural,Corporación Cultural de Puerto Montt
Gestión cultural,Corporación Cultural de Quilicura
Gestión cultural,Corporación Cultural de Temuco
Gestión cultural,Corporación Cultural de Viña del Mar
Gestión cultural,Corporación Cultural de Vitacura
Gestión cultural,Corporación Cultural Luterana de Valdivia
Gestión cultural,Corporación Cultural Municipal de Coyhaique
Gestión cultural,Corporación Cultural Municipal de Valdivia
Gestión cultural,Corporación Cultural Universidad de Concepción
Gestión cultural,Extensión USACh
Gestión cultural,"Ministerio de las Culturas, las Artes y el Patrimonio"
Gestión cultural,Sur Cultura
Gestión cultural,Asociación Latinoamericana de Canto Coral Chile (ALACC)
Gestión cultural,Casa de las Artes UACh Sede Puerto Montt
Gestión cultural,Centro Cultural Estación Mapocho
Gestión cultural,Centro Cultural Gabriela Mistral
Gestión cultural,Centro de Arte Molino Machmar (CAMM)
Gestión cultural,Corporación de Adelanto Amigos de Panguipulli
Gestión cultural,Corporación Sinfónica de Concepción
Gestión cultural,Espacio Arte Lanco
Gestión cultural,Fundación Corpartes
Gestión cultural,Parque Cultural de Valparaíso
Gestión cultural,Sociedad Internacional por la Música Chilena (SIMUC)
Gestión cultural,Música clásica
Asociación Latinoamericana de Canto Coral Chile (ALACC),Gremio
Gremio,Asociación Latinoamericana de Profesores de Piano (ALAPP) Chile
Gremio,Asociación Nacional de Compositores de Chile (ANC)
Gremio,Foro Latinoamericano de Educación Musical (FLADEM) Sección Nacional Chile
Gremio,Sociedad Chilena de Musicología
Gremio,Sociedad Internacional por la Música Chilena (SIMUC)
Gremio,Música clásica
Aula Records,Sello discográfico
Sello discográfico,Chile Clásico
Sello discográfico,SVR Producciones
Sello discográfico,Música clásica
Camerata Vocal de la Universidad de Chile,Coro
Coro,Coro de la Universidad de Talca
Coro,Coro del Municipal de Santiago
Coro,Coro Madrigalista
Coro,Coro Sinfónico de la Universidad de Chile
Coro,Coro Sinfónico USACH
Coro,Coro UACh
Coro,Coro Universidad de Concepción
Coro,Música clásica
Centro de Investigación en Educación Musical Chile (CIEM Chile),Centro de estudios
Centro de estudios,Centro de Investigación Musical Autónomo
Centro de estudios,Laboratorio de Arte y Tecnología (LATE)
Centro de estudios,Departamento de Música de la Universidad de Concepción
Centro de estudios,Departamento de Música de la Universidad de La Serena
Centro de estudios,Departamento de Música de la Universidad Metropolitana de Ciencias de la Educación
Centro de estudios,Departamento de Música Universidad de Chile
Centro de estudios,Escuela de Música - Universidad de Talca
Centro de estudios,Instituto de Música de la Pontificia Universidad Católica de Valparaíso
Centro de estudios,Instituto de Música de la Universidad Alberto Hurtado
Centro de estudios,Instituto de Música de la Universidad Católica de Chile (IMUC)
Centro de estudios,Música clásica
Consejo de Fomento de la Música Nacional,Estatal
Estatal,"División de las Culturas, las Artes, el Patrimonio y Diplomacia Pública (DIRAC) Ministerio de Relaciones Exteriores"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Arica y Parinacota"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Atacama"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Coquimbo"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Región Metropolitana"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Tarapacá"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Valparaíso"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Antofagasta"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Aysén"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Biobío"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio La Araucanía"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Los Lagos"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Los Ríos"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Magallanes"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Maule"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio Ñuble"
Estatal,"Secretaría Regional Ministerial de las Culturas, las Artes y el Patrimonio O'Higgins"
Estatal,"Ministerio de las Culturas, las Artes y el Patrimonio"
Estatal,Música clásica
Ediciones Cluster,Editorial
Editorial,Ediciones Serendero
Editorial,Editorial Nacional
Editorial,SVR Producciones
Editorial,Sociedad Internacional por la Música Chilena (SIMUC)
Editorial,Música clásica
Escuela de Música Papageno,Fundación
Factoría Musical,Fundación
Fundación Beethoven,Fundación
Fundación,Fundación Chile Violines
Fundación,Fundación Corpartes
Fundación,Fundación de Orquestas Juveniles e Infantiles de Chile (FOJI)
Fundación,Fundación Enrique Soro
Fundación,Fundación Guitarra Viva Ernesto Quezada
Fundación,Fundación Ibáñez Atkinson
Fundación,Fundación Música para la Integración
Fundación,Fundación Musical Lagar
Fundación,Fundación Pianos para Chile
Fundación,Fundación Verdi
Fundación,Fundación CIFAN
Fundación,Orquesta Marga Marga
Fundación,Teatro del Lago
Fundación,Música clásica
Orquesta Clásica del Maule,Orquesta
Orquesta,Orquesta Clásica Universidad de Santiago
Orquesta,Orquesta de Cámara de Chile
Orquesta,Orquesta de Cámara de Valdivia
Orquesta,Orquesta de Cámara del Municipal de Santiago
Orquesta,Orquesta Filarmónica de Los Ríos
Orquesta,Orquesta Filarmónica de Santiago
Orquesta,Orquesta Filarmónica de Temuco
Orquesta,Orquesta Marga Marga
Orquesta,Orquesta Sinfónica de Antofagasta
Orquesta,Orquesta Sinfónica de la Universidad de Concepción
Orquesta,Orquesta Sinfónica Nacional de Chile
Orquesta,Orquesta Sinfónica Universidad de La Serena
Orquesta,Syntagma Musicum
Orquesta,Música clásica
Radio Beethoven,Medio de comunicación
Medio de comunicación,Radio Universidad Técnica Federico Santa María
Medio de comunicación,Música clásica
Sociedad Chilena del Derecho de Autor (SCD),Administración derechos
Administración derechos,Música clásica
